id,geometry
16,"POLYGON ((114.3449797860277 22.75318911672663, 114.3449797860277 22.74318911672663, 114.3349797860277 22.74318911672663, 114.3349797860277 22.75318911672663, 114.3449797860277 22.75318911672663))"
17,"POLYGON ((113.9273610805243 22.84425182251584, 113.9273610805243 22.83425182251584, 113.9173610805243 22.83425182251584, 113.9173610805243 22.84425182251584, 113.9273610805243 22.84425182251584))"
18,"POLYGON ((114.3431714511581 22.6379606908126, 114.3431714511581 22.6279606908126, 114.3331714511581 22.6279606908126, 114.3331714511581 22.6379606908126, 114.3431714511581 22.6379606908126))"
19,"POLYGON ((113.9959990757086 22.58158599900244, 113.9959990757086 22.57158599900244, 113.9859990757086 22.57158599900244, 113.9859990757086 22.58158599900244, 113.9959990757086 22.58158599900244))"
20,"POLYGON ((114.4475234161579 22.58318574921395, 114.4475234161579 22.57318574921395, 114.4375234161579 22.57318574921395, 114.4375234161579 22.58318574921395, 114.4475234161579 22.58318574921395))"
21,"POLYGON ((114.0846627842195 22.64959207552092, 114.0846627842195 22.63959207552092, 114.0746627842195 22.63959207552092, 114.0746627842195 22.64959207552092, 114.0846627842195 22.64959207552092))"
22,"POLYGON ((114.3055634904273 22.61583086514147, 114.3055634904273 22.60583086514147, 114.2955634904273 22.60583086514147, 114.2955634904273 22.61583086514147, 114.3055634904273 22.61583086514147))"
23,"POLYGON ((113.9167404832044 22.60232161929817, 113.9167404832044 22.59232161929818, 113.9067404832044 22.59232161929818, 113.9067404832044 22.60232161929817, 113.9167404832044 22.60232161929817))"
24,"POLYGON ((114.273620067281 22.58270577474115, 114.273620067281 22.57270577474115, 114.263620067281 22.57270577474115, 114.263620067281 22.58270577474115, 114.273620067281 22.58270577474115))"
25,"POLYGON ((113.9211686680461 22.77247205281885, 113.9211686680461 22.76247205281885, 113.9111686680461 22.76247205281885, 113.9111686680461 22.77247205281885, 113.9211686680461 22.77247205281885))"
26,"POLYGON ((114.1634449705054 22.66800419045056, 114.1634449705054 22.65800419045056, 114.1534449705054 22.65800419045056, 114.1534449705054 22.66800419045056, 114.1634449705054 22.66800419045056))"
27,"POLYGON ((114.1957146264131 22.7698935451446, 114.1957146264131 22.7598935451446, 114.1857146264131 22.7598935451446, 114.1857146264131 22.7698935451446, 114.1957146264131 22.7698935451446))"
28,"POLYGON ((114.3451692292468 22.7690169225327, 114.3451692292468 22.7590169225327, 114.3351692292468 22.7590169225327, 114.3351692292468 22.7690169225327, 114.3451692292468 22.7690169225327))"
29,"POLYGON ((114.2942764110826 22.73435785219052, 114.2942764110826 22.72435785219053, 114.2842764110827 22.72435785219053, 114.2842764110827 22.73435785219052, 114.2942764110826 22.73435785219052))"
30,"POLYGON ((113.9303097628589 22.54071563019093, 113.9303097628589 22.53071563019093, 113.9203097628589 22.53071563019093, 113.9203097628589 22.54071563019093, 113.9303097628589 22.54071563019093))"
31,"POLYGON ((113.9417555659901 22.75805591305342, 113.9417555659901 22.74805591305342, 113.9317555659901 22.74805591305342, 113.9317555659901 22.75805591305342, 113.9417555659901 22.75805591305342))"
32,"POLYGON ((113.9358921833061 22.75503410058666, 113.9358921833061 22.74503410058666, 113.9258921833061 22.74503410058666, 113.9258921833061 22.75503410058666, 113.9358921833061 22.75503410058666))"
33,"POLYGON ((114.2057181596073 22.75682782792295, 114.2057181596073 22.74682782792295, 114.1957181596073 22.74682782792295, 114.1957181596073 22.75682782792295, 114.2057181596073 22.75682782792295))"
34,"POLYGON ((113.8995922938539 22.68677751365938, 113.8995922938539 22.67677751365938, 113.8895922938539 22.67677751365938, 113.8895922938539 22.68677751365938, 113.8995922938539 22.68677751365938))"
35,"POLYGON ((114.251868329566 22.79729059620262, 114.251868329566 22.78729059620262, 114.241868329566 22.78729059620262, 114.241868329566 22.79729059620262, 114.251868329566 22.79729059620262))"
36,"POLYGON ((114.0162410412823 22.52533250329893, 114.0162410412823 22.51533250329893, 114.0062410412823 22.51533250329893, 114.0062410412823 22.52533250329893, 114.0162410412823 22.52533250329893))"
37,"POLYGON ((114.3695839617344 22.68913030695451, 114.3695839617344 22.67913030695451, 114.3595839617344 22.67913030695451, 114.3595839617344 22.68913030695451, 114.3695839617344 22.68913030695451))"
38,"POLYGON ((113.815145154979 22.76346044773147, 113.815145154979 22.75346044773147, 113.805145154979 22.75346044773147, 113.805145154979 22.76346044773147, 113.815145154979 22.76346044773147))"
39,"POLYGON ((113.9368033866069 22.72909833681107, 113.9368033866069 22.71909833681108, 113.9268033866069 22.71909833681108, 113.9268033866069 22.72909833681107, 113.9368033866069 22.72909833681107))"
40,"POLYGON ((113.8900134554509 22.63274921504256, 113.8900134554509 22.62274921504256, 113.8800134554509 22.62274921504256, 113.8800134554509 22.63274921504256, 113.8900134554509 22.63274921504256))"
41,"POLYGON ((114.3818406706912 22.61963400253091, 114.3818406706912 22.60963400253091, 114.3718406706912 22.60963400253091, 114.3718406706912 22.61963400253091, 114.3818406706912 22.61963400253091))"
42,"POLYGON ((114.43230790637 22.64151488207142, 114.43230790637 22.63151488207142, 114.4223079063701 22.63151488207142, 114.4223079063701 22.64151488207142, 114.43230790637 22.64151488207142))"
43,"POLYGON ((113.9834999066367 22.73957328906985, 113.9834999066367 22.72957328906985, 113.9734999066367 22.72957328906985, 113.9734999066367 22.73957328906985, 113.9834999066367 22.73957328906985))"
44,"POLYGON ((114.0746982423256 22.57085345295508, 114.0746982423256 22.56085345295508, 114.0646982423256 22.56085345295508, 114.0646982423256 22.57085345295508, 114.0746982423256 22.57085345295508))"
45,"POLYGON ((113.9701977470974 22.65605697685694, 113.9701977470974 22.64605697685694, 113.9601977470974 22.64605697685694, 113.9601977470974 22.65605697685694, 113.9701977470974 22.65605697685694))"
46,"POLYGON ((113.8475302667433 22.70060304343174, 113.8475302667433 22.69060304343174, 113.8375302667434 22.69060304343174, 113.8375302667434 22.70060304343174, 113.8475302667433 22.70060304343174))"
47,"POLYGON ((113.9503116947519 22.63939047603942, 113.9503116947519 22.62939047603942, 113.9403116947519 22.62939047603942, 113.9403116947519 22.63939047603942, 113.9503116947519 22.63939047603942))"
48,"POLYGON ((113.9371750903928 22.71853757073569, 113.9371750903928 22.7085375707357, 113.9271750903928 22.7085375707357, 113.9271750903928 22.71853757073569, 113.9371750903928 22.71853757073569))"
49,"POLYGON ((114.2598129896436 22.75598432360288, 114.2598129896436 22.74598432360289, 114.2498129896437 22.74598432360289, 114.2498129896437 22.75598432360288, 114.2598129896436 22.75598432360288))"
50,"POLYGON ((113.9552390587559 22.72183045120345, 113.9552390587559 22.71183045120345, 113.9452390587559 22.71183045120345, 113.9452390587559 22.72183045120345, 113.9552390587559 22.72183045120345))"
51,"POLYGON ((114.1850005168445 22.61082537989352, 114.1850005168445 22.60082537989353, 114.1750005168445 22.60082537989353, 114.1750005168445 22.61082537989352, 114.1850005168445 22.61082537989352))"
52,"POLYGON ((114.2738158669937 22.66891192882941, 114.2738158669937 22.65891192882941, 114.2638158669937 22.65891192882941, 114.2638158669937 22.66891192882941, 114.2738158669937 22.66891192882941))"
53,"POLYGON ((114.4502745813851 22.65011762586271, 114.4502745813851 22.64011762586271, 114.4402745813851 22.64011762586271, 114.4402745813851 22.65011762586271, 114.4502745813851 22.65011762586271))"
54,"POLYGON ((113.9173165771283 22.71195645672726, 113.9173165771283 22.70195645672727, 113.9073165771283 22.70195645672727, 113.9073165771283 22.71195645672726, 113.9173165771283 22.71195645672726))"
55,"POLYGON ((114.3783644378164 22.74544509042417, 114.3783644378164 22.73544509042417, 114.3683644378164 22.73544509042417, 114.3683644378164 22.74544509042417, 114.3783644378164 22.74544509042417))"
56,"POLYGON ((114.2532310343922 22.78211504099589, 114.2532310343922 22.7721150409959, 114.2432310343922 22.7721150409959, 114.2432310343922 22.78211504099589, 114.2532310343922 22.78211504099589))"
57,"POLYGON ((113.8939770993766 22.8189351049933, 113.8939770993766 22.8089351049933, 113.8839770993766 22.8089351049933, 113.8839770993766 22.8189351049933, 113.8939770993766 22.8189351049933))"
58,"POLYGON ((113.8677690317289 22.64550937985421, 113.8677690317289 22.63550937985421, 113.8577690317289 22.63550937985421, 113.8577690317289 22.64550937985421, 113.8677690317289 22.64550937985421))"
59,"POLYGON ((113.7975952487215 22.75569523468034, 113.7975952487215 22.74569523468034, 113.7875952487215 22.74569523468034, 113.7875952487215 22.75569523468034, 113.7975952487215 22.75569523468034))"
60,"POLYGON ((113.9725301391113 22.79133914671718, 113.9725301391113 22.78133914671718, 113.9625301391113 22.78133914671718, 113.9625301391113 22.79133914671718, 113.9725301391113 22.79133914671718))"
61,"POLYGON ((114.2829654474625 22.68382635739404, 114.2829654474625 22.67382635739405, 114.2729654474625 22.67382635739405, 114.2729654474625 22.68382635739404, 114.2829654474625 22.68382635739404))"
62,"POLYGON ((114.301166445105 22.7041618414022, 114.301166445105 22.6941618414022, 114.291166445105 22.6941618414022, 114.291166445105 22.7041618414022, 114.301166445105 22.7041618414022))"
63,"POLYGON ((114.4640934625209 22.64009594957176, 114.4640934625209 22.63009594957176, 114.4540934625209 22.63009594957176, 114.4540934625209 22.64009594957176, 114.4640934625209 22.64009594957176))"
64,"POLYGON ((113.781944382239 22.77303747663757, 113.781944382239 22.76303747663757, 113.771944382239 22.76303747663757, 113.771944382239 22.77303747663757, 113.781944382239 22.77303747663757))"
65,"POLYGON ((114.0715810528526 22.74702403755008, 114.0715810528526 22.73702403755009, 114.0615810528526 22.73702403755009, 114.0615810528526 22.74702403755008, 114.0715810528526 22.74702403755008))"
66,"POLYGON ((114.3090184383178 22.60336503778313, 114.3090184383178 22.59336503778313, 114.2990184383178 22.59336503778313, 114.2990184383178 22.60336503778313, 114.3090184383178 22.60336503778313))"
67,"POLYGON ((114.3586333296601 22.79240445131378, 114.3586333296601 22.78240445131378, 114.3486333296601 22.78240445131378, 114.3486333296601 22.79240445131378, 114.3586333296601 22.79240445131378))"
68,"POLYGON ((113.983032995711 22.55523893742986, 113.983032995711 22.54523893742986, 113.973032995711 22.54523893742986, 113.973032995711 22.55523893742986, 113.983032995711 22.55523893742986))"
69,"POLYGON ((114.5360825227243 22.54504340203182, 114.5360825227243 22.53504340203182, 114.5260825227243 22.53504340203182, 114.5260825227243 22.54504340203182, 114.5360825227243 22.54504340203182))"
70,"POLYGON ((113.9102343474393 22.80656452456493, 113.9102343474393 22.79656452456493, 113.9002343474393 22.79656452456493, 113.9002343474393 22.80656452456493, 113.9102343474393 22.80656452456493))"
71,"POLYGON ((113.8445397317552 22.75677410644529, 113.8445397317552 22.74677410644529, 113.8345397317552 22.74677410644529, 113.8345397317552 22.75677410644529, 113.8445397317552 22.75677410644529))"
72,"POLYGON ((114.5954399765427 22.50495314735162, 114.5954399765427 22.49495314735162, 114.5854399765427 22.49495314735162, 114.5854399765427 22.50495314735162, 114.5954399765427 22.50495314735162))"
73,"POLYGON ((114.1190401720108 22.62997937588339, 114.1190401720108 22.6199793758834, 114.1090401720108 22.6199793758834, 114.1090401720108 22.62997937588339, 114.1190401720108 22.62997937588339))"
74,"POLYGON ((113.7663233658469 22.73398518951493, 113.7663233658469 22.72398518951493, 113.7563233658469 22.72398518951493, 113.7563233658469 22.73398518951493, 113.7663233658469 22.73398518951493))"
75,"POLYGON ((113.9813422028186 22.73014322981115, 113.9813422028186 22.72014322981115, 113.9713422028186 22.72014322981115, 113.9713422028186 22.73014322981115, 113.9813422028186 22.73014322981115))"
76,"POLYGON ((113.9536067956278 22.529445980283, 113.9536067956278 22.519445980283, 113.9436067956278 22.519445980283, 113.9436067956278 22.529445980283, 113.9536067956278 22.529445980283))"
77,"POLYGON ((114.0087769005606 22.72434661437196, 114.0087769005606 22.71434661437197, 113.9987769005606 22.71434661437197, 113.9987769005606 22.72434661437196, 114.0087769005606 22.72434661437196))"
78,"POLYGON ((114.0216112985258 22.65212364168666, 114.0216112985258 22.64212364168666, 114.0116112985258 22.64212364168666, 114.0116112985258 22.65212364168666, 114.0216112985258 22.65212364168666))"
79,"POLYGON ((114.1263261335704 22.6294000171901, 114.1263261335704 22.61940001719011, 114.1163261335704 22.61940001719011, 114.1163261335704 22.6294000171901, 114.1263261335704 22.6294000171901))"
80,"POLYGON ((114.0647311095131 22.52891773219665, 114.0647311095131 22.51891773219665, 114.0547311095131 22.51891773219665, 114.0547311095131 22.52891773219665, 114.0647311095131 22.52891773219665))"
81,"POLYGON ((113.9999011392883 22.74442126412163, 113.9999011392883 22.73442126412163, 113.9899011392883 22.73442126412163, 113.9899011392883 22.74442126412163, 113.9999011392883 22.74442126412163))"
82,"POLYGON ((113.8697686325002 22.75352431861811, 113.8697686325002 22.74352431861811, 113.8597686325002 22.74352431861811, 113.8597686325002 22.75352431861811, 113.8697686325002 22.75352431861811))"
83,"POLYGON ((114.1684075374767 22.57859501305199, 114.1684075374767 22.56859501305199, 114.1584075374767 22.56859501305199, 114.1584075374767 22.57859501305199, 114.1684075374767 22.57859501305199))"
84,"POLYGON ((114.4872650329346 22.64959173339184, 114.4872650329346 22.63959173339184, 114.4772650329346 22.63959173339184, 114.4772650329346 22.64959173339184, 114.4872650329346 22.64959173339184))"
85,"POLYGON ((113.976237339987 22.58743461592096, 113.976237339987 22.57743461592096, 113.966237339987 22.57743461592096, 113.966237339987 22.58743461592096, 113.976237339987 22.58743461592096))"
86,"POLYGON ((114.270415011957 22.67098227558055, 114.270415011957 22.66098227558055, 114.260415011957 22.66098227558055, 114.260415011957 22.67098227558055, 114.270415011957 22.67098227558055))"
87,"POLYGON ((114.2462650244913 22.63535025620913, 114.2462650244913 22.62535025620913, 114.2362650244913 22.62535025620913, 114.2362650244913 22.63535025620913, 114.2462650244913 22.63535025620913))"
88,"POLYGON ((114.2688172633047 22.67062375935239, 114.2688172633047 22.66062375935239, 114.2588172633047 22.66062375935239, 114.2588172633047 22.67062375935239, 114.2688172633047 22.67062375935239))"
89,"POLYGON ((113.9388502497523 22.6376992454067, 113.9388502497523 22.62769924540671, 113.9288502497523 22.62769924540671, 113.9288502497523 22.6376992454067, 113.9388502497523 22.6376992454067))"
90,"POLYGON ((113.9605441968352 22.74650229486712, 113.9605441968352 22.73650229486712, 113.9505441968352 22.73650229486712, 113.9505441968352 22.74650229486712, 113.9605441968352 22.74650229486712))"
91,"POLYGON ((113.9678924426799 22.63787073691761, 113.9678924426799 22.62787073691761, 113.9578924426799 22.62787073691761, 113.9578924426799 22.63787073691761, 113.9678924426799 22.63787073691761))"
92,"POLYGON ((113.9476371837859 22.83030794191367, 113.9476371837859 22.82030794191367, 113.9376371837859 22.82030794191367, 113.9376371837859 22.83030794191367, 113.9476371837859 22.83030794191367))"
93,"POLYGON ((114.3231097500307 22.71209744890444, 114.3231097500307 22.70209744890444, 114.3131097500307 22.70209744890444, 114.3131097500307 22.71209744890444, 114.3231097500307 22.71209744890444))"
94,"POLYGON ((113.8828681679571 22.65274854621985, 113.8828681679571 22.64274854621985, 113.8728681679571 22.64274854621985, 113.8728681679571 22.65274854621985, 113.8828681679571 22.65274854621985))"
95,"POLYGON ((114.2432083909741 22.74213835762993, 114.2432083909741 22.73213835762994, 114.2332083909741 22.73213835762994, 114.2332083909741 22.74213835762993, 114.2432083909741 22.74213835762993))"
96,"POLYGON ((113.9364666279412 22.7803398792683, 113.9364666279412 22.77033987926831, 113.9264666279412 22.77033987926831, 113.9264666279412 22.7803398792683, 113.9364666279412 22.7803398792683))"
97,"POLYGON ((114.3999565480585 22.67683477583559, 114.3999565480585 22.66683477583559, 114.3899565480585 22.66683477583559, 114.3899565480585 22.67683477583559, 114.3999565480585 22.67683477583559))"
98,"POLYGON ((114.4395974421161 22.62134285362337, 114.4395974421161 22.61134285362338, 114.4295974421161 22.61134285362338, 114.4295974421161 22.62134285362337, 114.4395974421161 22.62134285362337))"
99,"POLYGON ((114.3722331063411 22.62607649663475, 114.3722331063411 22.61607649663475, 114.3622331063412 22.61607649663475, 114.3622331063412 22.62607649663475, 114.3722331063411 22.62607649663475))"
100,"POLYGON ((114.3455413958379 22.76278501195631, 114.3455413958379 22.75278501195632, 114.3355413958379 22.75278501195632, 114.3355413958379 22.76278501195631, 114.3455413958379 22.76278501195631))"
101,"POLYGON ((114.2765334187808 22.58111501399848, 114.2765334187808 22.57111501399849, 114.2665334187809 22.57111501399849, 114.2665334187809 22.58111501399848, 114.2765334187808 22.58111501399848))"
102,"POLYGON ((114.3264147038586 22.72294485359452, 114.3264147038586 22.71294485359452, 114.3164147038586 22.71294485359452, 114.3164147038586 22.72294485359452, 114.3264147038586 22.72294485359452))"
103,"POLYGON ((113.9564884034308 22.72306625335466, 113.9564884034308 22.71306625335466, 113.9464884034308 22.71306625335466, 113.9464884034308 22.72306625335466, 113.9564884034308 22.72306625335466))"
104,"POLYGON ((113.9219323156452 22.57708759363638, 113.9219323156452 22.56708759363638, 113.9119323156452 22.56708759363638, 113.9119323156452 22.57708759363638, 113.9219323156452 22.57708759363638))"
105,"POLYGON ((114.1183847434824 22.71290302891745, 114.1183847434824 22.70290302891745, 114.1083847434824 22.70290302891745, 114.1083847434824 22.71290302891745, 114.1183847434824 22.71290302891745))"
106,"POLYGON ((113.9314328454264 22.71364848236072, 113.9314328454264 22.70364848236073, 113.9214328454264 22.70364848236073, 113.9214328454264 22.71364848236072, 113.9314328454264 22.71364848236072))"
107,"POLYGON ((114.3438485793542 22.61853557943188, 114.3438485793542 22.60853557943188, 114.3338485793543 22.60853557943188, 114.3338485793543 22.61853557943188, 114.3438485793542 22.61853557943188))"
108,"POLYGON ((113.9988102237117 22.62552987983701, 113.9988102237117 22.61552987983701, 113.9888102237117 22.61552987983701, 113.9888102237117 22.62552987983701, 113.9988102237117 22.62552987983701))"
109,"POLYGON ((113.9911265913867 22.73895310423624, 113.9911265913867 22.72895310423625, 113.9811265913867 22.72895310423625, 113.9811265913867 22.73895310423624, 113.9911265913867 22.73895310423624))"
110,"POLYGON ((114.2367810064974 22.67804698627296, 114.2367810064974 22.66804698627296, 114.2267810064974 22.66804698627296, 114.2267810064974 22.67804698627296, 114.2367810064974 22.67804698627296))"
111,"POLYGON ((114.1076710693016 22.66089715221943, 114.1076710693016 22.65089715221944, 114.0976710693016 22.65089715221944, 114.0976710693016 22.66089715221943, 114.1076710693016 22.66089715221943))"
112,"POLYGON ((114.3281076953902 22.72288069436903, 114.3281076953902 22.71288069436903, 114.3181076953902 22.71288069436903, 114.3181076953902 22.72288069436903, 114.3281076953902 22.72288069436903))"
113,"POLYGON ((114.1012030605941 22.52710368444296, 114.1012030605941 22.51710368444296, 114.0912030605941 22.51710368444296, 114.0912030605941 22.52710368444296, 114.1012030605941 22.52710368444296))"
114,"POLYGON ((113.8833474438401 22.68642731924411, 113.8833474438401 22.67642731924411, 113.8733474438401 22.67642731924411, 113.8733474438401 22.68642731924411, 113.8833474438401 22.68642731924411))"
115,"POLYGON ((114.2334967722616 22.65332459469963, 114.2334967722616 22.64332459469964, 114.2234967722616 22.64332459469964, 114.2234967722616 22.65332459469963, 114.2334967722616 22.65332459469963))"
116,"POLYGON ((114.1353475530635 22.67682477117397, 114.1353475530635 22.66682477117397, 114.1253475530635 22.66682477117397, 114.1253475530635 22.67682477117397, 114.1353475530635 22.67682477117397))"
117,"POLYGON ((114.3141765903145 22.75861904760646, 114.3141765903145 22.74861904760646, 114.3041765903145 22.74861904760646, 114.3041765903145 22.75861904760646, 114.3141765903145 22.75861904760646))"
118,"POLYGON ((114.0693750959127 22.76816181702827, 114.0693750959127 22.75816181702827, 114.0593750959128 22.75816181702827, 114.0593750959128 22.76816181702827, 114.0693750959127 22.76816181702827))"
119,"POLYGON ((113.7695137997431 22.71152509727483, 113.7695137997431 22.70152509727483, 113.7595137997431 22.70152509727483, 113.7595137997431 22.71152509727483, 113.7695137997431 22.71152509727483))"
120,"POLYGON ((114.0000938475158 22.65615515094626, 114.0000938475158 22.64615515094626, 113.9900938475158 22.64615515094626, 113.9900938475158 22.65615515094626, 114.0000938475158 22.65615515094626))"
121,"POLYGON ((114.3398109801815 22.69166818012426, 114.3398109801815 22.68166818012426, 114.3298109801815 22.68166818012426, 114.3298109801815 22.69166818012426, 114.3398109801815 22.69166818012426))"
122,"POLYGON ((113.9747936038597 22.77426022839346, 113.9747936038597 22.76426022839346, 113.9647936038597 22.76426022839346, 113.9647936038597 22.77426022839346, 113.9747936038597 22.77426022839346))"
123,"POLYGON ((114.1774143497277 22.63504513461993, 114.1774143497277 22.62504513461993, 114.1674143497277 22.62504513461993, 114.1674143497277 22.63504513461993, 114.1774143497277 22.63504513461993))"
124,"POLYGON ((114.0733046835315 22.72793807459573, 114.0733046835315 22.71793807459574, 114.0633046835316 22.71793807459574, 114.0633046835316 22.72793807459573, 114.0733046835315 22.72793807459573))"
125,"POLYGON ((113.8364287504674 22.83038424901686, 113.8364287504674 22.82038424901686, 113.8264287504674 22.82038424901686, 113.8264287504674 22.83038424901686, 113.8364287504674 22.83038424901686))"
126,"POLYGON ((114.3673375229108 22.66729453882597, 114.3673375229108 22.65729453882597, 114.3573375229108 22.65729453882597, 114.3573375229108 22.66729453882597, 114.3673375229108 22.66729453882597))"
127,"POLYGON ((113.8612506327849 22.62375210613045, 113.8612506327849 22.61375210613045, 113.8512506327849 22.61375210613045, 113.8512506327849 22.62375210613045, 113.8612506327849 22.62375210613045))"
128,"POLYGON ((114.2249276675826 22.77579945173235, 114.2249276675826 22.76579945173235, 114.2149276675826 22.76579945173235, 114.2149276675826 22.77579945173235, 114.2249276675826 22.77579945173235))"
129,"POLYGON ((114.294616975933 22.79226484976398, 114.294616975933 22.78226484976398, 114.284616975933 22.78226484976398, 114.284616975933 22.79226484976398, 114.294616975933 22.79226484976398))"
130,"POLYGON ((114.304337924311 22.77255992683215, 114.304337924311 22.76255992683215, 114.294337924311 22.76255992683215, 114.294337924311 22.77255992683215, 114.304337924311 22.77255992683215))"
131,"POLYGON ((113.9375937993483 22.74844217267132, 113.9375937993483 22.73844217267132, 113.9275937993483 22.73844217267132, 113.9275937993483 22.74844217267132, 113.9375937993483 22.74844217267132))"
132,"POLYGON ((114.3081644823678 22.80027864446874, 114.3081644823678 22.79027864446874, 114.2981644823679 22.79027864446874, 114.2981644823679 22.80027864446874, 114.3081644823678 22.80027864446874))"
133,"POLYGON ((114.2260570125696 22.80591864382547, 114.2260570125696 22.79591864382548, 114.2160570125696 22.79591864382548, 114.2160570125696 22.80591864382547, 114.2260570125696 22.80591864382547))"
134,"POLYGON ((113.9731287555017 22.77953401234662, 113.9731287555017 22.76953401234662, 113.9631287555018 22.76953401234662, 113.9631287555018 22.77953401234662, 113.9731287555017 22.77953401234662))"
135,"POLYGON ((114.5464428591787 22.62357962491091, 114.5464428591787 22.61357962491091, 114.5364428591787 22.61357962491091, 114.5364428591787 22.62357962491091, 114.5464428591787 22.62357962491091))"
136,"POLYGON ((113.8746533046836 22.69858399327464, 113.8746533046836 22.68858399327464, 113.8646533046836 22.68858399327464, 113.8646533046836 22.69858399327464, 113.8746533046836 22.69858399327464))"
137,"POLYGON ((114.2582119084727 22.7200069761891, 114.2582119084727 22.7100069761891, 114.2482119084727 22.7100069761891, 114.2482119084727 22.7200069761891, 114.2582119084727 22.7200069761891))"
138,"POLYGON ((114.1903730841449 22.78192139527482, 114.1903730841449 22.77192139527483, 114.1803730841449 22.77192139527483, 114.1803730841449 22.78192139527482, 114.1903730841449 22.78192139527482))"
139,"POLYGON ((114.2416350485854 22.72714239092236, 114.2416350485854 22.71714239092237, 114.2316350485854 22.71714239092237, 114.2316350485854 22.72714239092236, 114.2416350485854 22.72714239092236))"
140,"POLYGON ((114.0521600078543 22.75040291016283, 114.0521600078543 22.74040291016283, 114.0421600078543 22.74040291016283, 114.0421600078543 22.75040291016283, 114.0521600078543 22.75040291016283))"
141,"POLYGON ((114.4945792271761 22.60102894692204, 114.4945792271761 22.59102894692204, 114.4845792271761 22.59102894692204, 114.4845792271761 22.60102894692204, 114.4945792271761 22.60102894692204))"
142,"POLYGON ((114.0831678148786 22.75447388336823, 114.0831678148786 22.74447388336824, 114.0731678148786 22.74447388336824, 114.0731678148786 22.75447388336823, 114.0831678148786 22.75447388336823))"
143,"POLYGON ((114.0430075999407 22.76728535647208, 114.0430075999407 22.75728535647209, 114.0330075999407 22.75728535647209, 114.0330075999407 22.76728535647208, 114.0430075999407 22.76728535647208))"
144,"POLYGON ((113.9608368380342 22.65001566580419, 113.9608368380342 22.6400156658042, 113.9508368380342 22.6400156658042, 113.9508368380342 22.65001566580419, 113.9608368380342 22.65001566580419))"
145,"POLYGON ((114.071854148153 22.58409831794333, 114.071854148153 22.57409831794333, 114.061854148153 22.57409831794333, 114.061854148153 22.58409831794333, 114.071854148153 22.58409831794333))"
